destination_id,destination_name,country,continent,type,unesco_site,best_season,avg_cost_usd,avg_rating,annual_visitors_millions,city,region,latitude,longitude,description,budget_level,culture_score,adventure_score,nature_score,beach_score,urban_score,nightlife_score,cuisine_score,wellness_score,seclusion_score,climate_spring_temp,climate_spring_label,climate_summer_temp,climate_summer_label,climate_autumn_temp,climate_autumn_label,climate_winter_temp,climate_winter_label,ideal_duration_days,experience_types,experience_types_str
DEST_0000,Serene Temple,Morocco,Africa,Beach,No,Summer,174.84,4.5,7.45,Essaouira,africa,31.5118281,-9.7620903,"Charming coastal breezes mix with the vibrant hum of bustling souks and the scent of fresh seafood, creating a laid-back, inviting atmosphere.",Budget,4,3,4,4,3,3,4,3,4,18.6,Pleasant,23.8,Pleasant,21.333333333333332,Pleasant,15.966666666666669,Pleasant,4,['Beach'],Beach
DEST_0001,Sacred Valley,Germany,Europe,Religious,No,Summer,94.41,4.6,1.98,Heidelberg,europe,49.4093582,8.694724,"Cobblestone streets lined with charming old buildings and the gentle flow of the Neckar River create an inviting, romantic atmosphere.",Mid-range,5,2,4,1,3,3,4,3,4,10.366666666666665,Cool,20.7,Pleasant,12.133333333333333,Cool,4.066666666666666,Cold,4,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0002,Serene Temple,South Africa,Africa,Adventure,Yes,Summer,228.96,4.7,0.7,Cape Town,africa,-33.9288301,18.4172197,"A vibrant coastal city surrounded by rugged mountains and pristine beaches, offering laid-back afternoons, diverse cultures, and breathtaking views.",Mid-range,4,4,5,4,4,4,4,3,3,17.53333333333333,Pleasant,12.9,Cool,16.666666666666668,Pleasant,21.2,Pleasant,8,['Adventure'],Adventure
DEST_0003,Sacred Plaza,Australia,Oceania,Nature,No,Summer,120.96,4.3,2.24,Hobart,oceania,-42.8825088,147.3281233,"Charming waterfront views and a laid-back vibe invite exploration through historic streets, bustling markets, and the surrounding natural beauty of rugged landscapes.",Mid-range,4,3,5,3,3,2,4,3,4,12.733333333333334,Cool,8.833333333333334,Cool,11.5,Cool,15.9,Pleasant,5,['Nature'],Nature
DEST_0004,Golden Ruins,Mexico,North America,Adventure,No,Spring,162.1,3.9,4.6,Puerto Vallarta,north_america,20.6407176,-105.220306,"Golden beaches meet the lush Sierra Madre mountains, creating a vibrant yet laid-back atmosphere filled with colorful markets and lively nightlife.",Mid-range,3,4,4,5,3,4,4,4,3,23.066666666666666,Pleasant,25.3,Warm,24.3,Pleasant,21.2,Pleasant,5,['Adventure'],Adventure
DEST_0005,Hidden Valley,Thailand,Asia,Historical,Yes,Spring,190.82,4.0,1.83,Bangkok,asia,13.7524938,100.4935089,Busy streets filled with vibrant markets and aromatic street food stalls create an exhilarating atmosphere that's both chaotic and captivating.,Budget,5,3,2,2,5,5,5,4,1,30.566666666666666,Hot,29.599999999999998,Warm,28.73333333333333,Warm,28.133333333333336,Warm,10,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0006,Hidden Park,Spain,Europe,Adventure,No,Summer,104.6,4.1,4.83,Asturias,europe,43.3133868,-5.94192,"Lush green landscapes meet rugged coastlines, offering a sense of tranquility and adventure with every breathtaking vista and charming village.",Mid-range,4,4,5,4,2,3,4,3,4,12.333333333333334,Cool,18.499999999999996,Pleasant,14.666666666666666,Cool,9.1,Cool,6,['Adventure'],Adventure
DEST_0007,Grand Valley,Brazil,South America,Beach,No,Autumn,118.53,4.7,5.39,Salvador da Bahia,south_america,-13.2432762,-43.3742847,"Lively streets filled with music and dance, vibrant markets, and stunning coastal views create an energetic yet laid-back atmosphere.",Mid-range,5,3,4,4,3,4,5,3,2,27.2,Warm,25.600000000000005,Warm,28.866666666666664,Warm,26.96666666666667,Warm,5,['Beach'],Beach
DEST_0008,Ancient Beach,New Zealand,Oceania,Historical,No,Spring,122.78,4.5,6.27,Rotorua,oceania,-38.1381493,176.252922,"Steam rises from bubbling mud pools and the air is filled with the scent of sulfur, creating a unique geothermal wonderland.",Mid-range,4,4,5,2,3,3,3,5,3,13.066666666666668,Cool,7.866666666666667,Cool,11.233333333333334,Cool,16.566666666666666,Pleasant,4,"['History', 'Cultural', 'Architecture']","History, Cultural, Architecture"
DEST_0009,Serene Valley,Kenya,Africa,City,No,Spring,119.99,4.8,1.43,Nairobi,africa,-1.30261485,36.82884202,"Bustling streets filled with colorful markets, the aroma of street food, and a lively mix of cultures create a dynamic urban experience.",Mid-range,4,4,5,1,4,3,3,3,2,20.666666666666668,Pleasant,18.3,Pleasant,19.966666666666665,Pleasant,20.8,Pleasant,5,['Urban'],Urban
